Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
Ca-TV3-article.ogg	Gravació de l'article TV3 de la Viquipèdia en català.	GFDL
Lad Cuig - Mira al teu Voltant.ogg	Lád Cúig. Mira al teu Voltant	cc-by-sa-3.0
LES FLORS DE MAIG.ogg	cant coral de Josep A.Clavé	cc-by-sa-3.0
LS FLORS DE MAIG.ogg	peça coral del Josep A. Clavé	cc-by-sa-3.0
76 Pista 76 converted.ogg	Cant d'ocells i nom llatí del mateix	cc-by-sa-3.0
Cigne petit.ogg	Cigne petit, en llatí (Cygnus columbianus)	cc-by-sa-3.0
Oca de bec curt.ogg	Nom de l'Oca de bec curt en llatí (Anser brachyrhynchus)	cc-by-sa-3.0
Oca Vulgar.ogg	El nom de l'Oca vulgar en llatí és (Anser anser)	cc-by-sa-3.0
Branta bernicla.ogg	Oca de collar en llatí (Branta bernicla)	cc-by-sa-3.0
Corriol gros 5.ogg	Corriol gros en llatí (Charadrius hiaticula)	cc-by-sa-3.0
Composició.ogg	Primera composició de Joan Rovira	cc-by-sa-3.0
Modus Operandi.ogg	Una cançó d'un dels meus grups preferits. Sublime!!!	cc-by-sa-3.0
Entrevista a Montserrat Carulla i Ventura RTVC 1982.ogg	Entrevista a Montserrat Carulla realitzada per Ràdio Televisió de Cardedeu	Youtube
Veïns Algemesí contra canvi nom avinguda.ogg	Debat sobre el canvi de nom a l'Avinguda del País Valencià d'Algemesí	cc-by-sa-3.0
PamEnTuPais.ogg	Versió de Lefazo en tu Bazo sobre l'enemistat entre Pam i Maria Gelabert	cc-by-sa-3.0
SerenataGranados.ogg	Partitura inèdita d'Enric Granados dedicata a Issac Albèniz. Font: Museu d'Art de Girona	PD-Art|PD-old-100
Stokos4, mostra de so.ogg	Mostra de so amb el sintetitzador electrònica de música aleatòria Stokos 4	cc-by-sa-3.0
Pensem-nos 5 - Entrevista Tempir.ogg	Entrevista al president de l'Associació Cívica per la Llengua El Tempir, d'Elx.	cc-by-sa-3.0
Pensem-nos 4 - Entrevista Juan Ignacio Blanco.ogg	Entrevista al periodista i criminòleg Juan Ignacio Blanco	cc-by-sa-3.0
Kalebarraka - 28 05 2014 - Entrevista Jordi Sebastià.ogg	Programa del 28 de maig de 2014, amb entrevista post-electoral a Jordi Sebastià, de Compromís.	cc-by-sa-4.0
Pensem-nos 8 - Entrevista Víctor Baeta.ogg	Entrevista a Víctor Baeta.	cc-by-sa-3.0
Campanes sitges 01.ogg	Son des cloches de l'église de Sant Bartomeu et Santa Tecla Sitges	cc-zero
Grallers Sitges.ogg	So de les gralles als carrers de Sitges (Escola de Grallers de Sitges)	cc-by-sa-3.0
Ca-Relació Transitiva-article.ogg	Voice recording of the Catalan article https://ca.wikipedia.org/wiki/Relació_transitiva	cc-by-sa-4.0
Unió Catalana de federacions.ogg	Presentació d'un programa radiofònic setmanal dedicat a l'esport català	cc-by-sa-4.0
Pensem-nos 10 - Entrevista a Vicent Baydal.ogg	Entrevista a l'Historiador Vicent Baydal i Sala	cc-by-sa-4.0
Pensem-nos 9 - Entrevista Félix Rodrigo.ogg	Entrevista a Félix Rodrigo Mora	cc-by-sa-4.0
Entrevista a Josep Lluís Bausset 2010.ogg	Entrevista realitzada pel portal Valencianisme.com (a partir del minut 7.14 pregunta Juli Esteve) al valencianista Josep Lluís Bausset	cc-by-sa-4.0
